,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,change,changepct,volume,color,name,exp_type,user_id,exp_seq
234,117,MRNA,0,0,0,0,-1,-1,-1.0,257.06,-15.15,-5.57,17506624,#3485FF,Moderna Inc,Base,2,5
235,100,FB,0,0,0,0,-1,-1,-1.0,329.75,-0.07,-0.02,14527969,#3485FF,Meta Platforms Inc,Base,2,5
236,103,RBLX,0,0,0,0,-1,-1,-1.0,115.89,-0.41,-0.35,11778202,#3485FF,Roblox Corp,Base,2,5
237,113,AMD,0,0,0,0,-1,-1,-1.0,138.55,0.45,0.33,42224275,#E24A4A,"Advanced Micro Devices, Inc.",Base,2,5
238,102,RIVN,0,0,0,0,-1,-1,-1.0,114.66,-0.74,-0.64,8387504,#3485FF,Rivian Automotive Inc,Base,2,5
239,106,U,0,0,0,0,-1,-1,-1.0,139.47,-0.53,-0.38,3691212,#3485FF,Unity Software Inc,Base,2,5
240,0,AAPL,0,0,0,0,0,-1,0.5382731717977504,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,3,1
241,1,MSFT,0,0,0,0,0,-1,0.5053041704371896,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,3,1
242,2,GOOG,0,0,0,0,0,-1,0.43763656069904705,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,3,1
243,3,AMZN,0,0,0,0,0,-1,0.3935648750104622,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,3,1
244,4,LCID,0,0,0,0,0,-1,0.3839098272621956,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,3,1
245,5,NVDA,0,0,0,0,0,-1,0.369811314264068,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,3,1
246,6,XOM,0,0,0,0,0,-1,0.3107546678829865,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,3,1
247,7,JPM,0,0,0,0,0,-1,0.2891702154377737,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,3,1
248,8,V,0,0,0,0,0,-1,0.2664917103063453,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,3,1
249,9,HD,0,0,0,0,0,-1,0.24580187145003934,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,3,1
250,10,JNJ,0,0,0,0,0,-1,0.22356341792917855,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,3,1
251,11,IONQ,0,0,0,0,0,-1,0.21105685358705653,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,3,1
252,12,WMT,0,0,0,0,0,-1,0.1893574602981374,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,3,1
253,13,BAC,0,0,0,0,0,-1,0.16940312499107354,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,3,1
254,14,PG,0,0,0,0,0,-1,0.16565955728391155,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,3,1
255,15,MA,0,0,0,0,0,-1,0.12633553565062672,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,3,1
256,16,ADBE,0,0,0,0,0,-1,0.10235771598504388,654.45,21.88,3.46,2872975,#E24A4A,Adobe Inc,Base,3,1
257,17,NFLX,0,0,0,0,0,-1,0.0981781768496822,611.66,0.66,0.11,2748774,#E24A4A,Netflix Inc,Base,3,1
258,18,PFE,0,0,0,0,0,-1,0.09452953572808016,52.78,0.7,1.34,26079361,#E24A4A,Pfizer Inc.,Base,3,1
259,19,NKE,0,0,0,0,0,-1,0.09322634127743196,169.06,0.96,0.57,4791125,#E24A4A,Nike Inc,Base,3,1
260,0,AAPL,0,0,0,0,0,-1,0.5382731717977504,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,3,2
261,1,MSFT,0,0,0,0,0,-1,0.5053041704371896,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,3,2
262,2,GOOG,0,0,0,0,0,-1,0.43763656069904705,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,3,2
263,3,AMZN,0,0,0,0,0,-1,0.3935648750104622,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,3,2
264,4,LCID,0,0,0,0,0,-1,0.3839098272621956,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,3,2
265,5,NVDA,0,0,0,0,0,-1,0.369811314264068,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,3,2
266,6,XOM,0,0,0,0,0,-1,0.3107546678829865,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,3,2
267,7,JPM,0,0,0,0,0,-1,0.2891702154377737,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,3,2
268,8,V,0,0,0,0,0,-1,0.2664917103063453,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,3,2
